Restaurant Name,Restaurant ID,Address,Category,Price,Ratings,,,,,,,,,,,
108 Food Dried Hot Pot,r1,2794 Broadway_New York_ NY 10025_,1,2,4,,,,,,,,,,,
21 Greenpoint,r2,21 Greenpoint Ave_Brooklyn_ NY 11222_,2; 3,3,4.5,,,,,,,,,,,
33 Greenwich,r3,33 Greenwich Ave_New York_ NY 10014_,2,3,4.5,,,,,,,,,,,
44 & X Hell's Kitchen,r4,622 10th Ave_New York_ NY 10036_,2; 4; 5,3,3.5,,,,,,,,,,,
49 Monroe,r5,49 Monroe St_New York_ NY 10002_,6; 7; 5,2,4.5,,,,,,,,,,,
83 1/2,r6,345 E 83rd St_New York_ NY 10028_,7,3,4,,,,,,,,,,,
8th Wonder Juice Bar,r7,370 2nd Ave,7,1,4.5,,,,,,,,,,,
ABA Turkish Restaurant,r8,325 W 57th St_New York_ NY 10019_,8,2,4,,,,,,,,,,,
ABC Cocina,r9,38 E 19th St_New York_ NY 10003_,15,3,4,,,,,,,,,,,
ABC Kitchen,r10,35 E 18th St_New York_ NY 10003_,2;,3,4,,,,,,,,,,,
ABCV,r11,38 E 19th St_New York_ NY 10003_,2; 7; 5,3,4,,,,,,,,,,,
Adella,r13,410 W 43rd St_New York_ NY 10036_,2; 5,2,4,,,,,,,,,,,
Adrienne's Pizzabar,r14,54 Stone St_New York_ NY 10004_,7; 5,2,4,,,,,,,,,,,
Agora Turkish Restaurant,r15,1565 2nd Ave_New York_ NY 10028_,8,2,4.5,,,,,,,,,,,
Ai Fiori,r16,400 5th Ave_2nd level_New York_ NY 10018_,7,4,4,,,,,,,,,,,
Ajisai Japanese Fusion,r17,795 Lexington Ave_New York_ NY 10065_,9,2,3.5,,,,,,,,,,,
Ako,r18,205 Bedford Ave,9,2,4,,,,,,,,,,,
Albion,r19,575 2nd Ave_New York_ NY 10016_,5,1,4.5,,,,,,,,,,,
Allora Ristorante,r20,145 E 47th St_New York_ NY 10017_,7,3,4.5,,,,,,,,,,,
Almayass Restaurant NYC,r21,24 E 21st St_New York_ NY 10010_,8,3,4.5,,,,,,,,,,,
Almond,r22,12 E 22nd St_New York_ NY 10010_,2,2,3.5,,,,,,,,,,,
Alphabet City Beer Company,r23,96 Ave C_New York_ NY 10009_,5,2,4.5,,,,,,,,,,,
Amada,r24,250 Vesey St_New York_ NY 10281_,1,3,3.5,,,,,,,,,,,
Amali,r25,115 E 60th St_New York_ NY 10022_,8,3,4,,,,,,,,,,,
Amelie Wine Bar,r26,22 W 8th St_New York_ NY 10011_,6; 5,2,4.5,,,,,,,,,,,
Amused,r27,142 W 83rd St_New York_ NY 10024_,2,2,4,,,,,,,,,,,
An'Nam,r28,234 W 48th St_New York_ NY 10036_,9,2,4,,,,,,,,,,,
Anella,r29,222 Franklin St_Brooklyn_ NY 11222_,2,2,4,,,,,,,,,,,
Angela's Montana Table,r30,1750 2nd Ave_New York_ NY 10128_,2; 7,2,4,,,,,,,,,,,
Angkor Cambodian Bistro,r31,408 E 64th St_New York_ NY 10065_,3; 9; 7,2,4.5,,,,,,,,,,,
Annabel,r32,809 9th Ave_New York_ NY 10019_,2; 5,2,4,,,,,,,,,,,
Antica Ristorante,r33,8 Stone St_New York_ NY 10004_,7,3,4.5,,,,,,,,,,,
Antique Garage Tribeca,r34,313 Church St_New York_ NY 10013_,8,3,4,,,,,,,,,,,
AOC East,r35,1590 1st Ave_New York_ NY 10028_,6; 5,2,4,,,,,,,,,,,
Aquagrill,r36,210 Spring St_New York_ NY 10012_,2,3,4,,,,,,,,,,,
Aretsky's Patroon,r37,160 E 46th St_New York_ NY 10017_,0; 5,3,4,,,,,,,,,,,
Aroqa,r38,206 9th Ave_New York_ NY 10011_,13,3,5,,,,,,,,,,,
Asian Spicy Curry Pop-up,r39,46 Mulberry St_New York_ NY 10013_,9,1,4.5,,,,,,,,,,,
Asiate,r40,80 Columbus Cir_Fl 35_New York_ NY 10023_,2,4,4,,,,,,,,,,,
Atera,r41,77 Worth St_New York_ NY 10013_,0,4,4.5,,,,,,,,,,,
Atlantic Grill,r42,49 W 64th St_New York_ NY 10023_,3,3,4,,,,,,,,,,,
Atoboy,r43,43 E 28th St_New York_ NY 10016_,10,3,4,,,,,,,,,,,
Atrium Dumbo,r44,15 Main St_Brooklyn_ NY 11201_,0,2,4,,,,,,,,,,,
Augustine,r45,5 Beekman St_New York_ NY 10038_,6,3,4,,,,,,,,,,,
Aunt Jake's,r46,151 Mulberry St_New York_ NY 10013_,7,2,4,,,,,,,,,,,
Aureole,r47,135 W 42nd St_New York_ NY 10036_,2,4,4,,,,,,,,,,,
Aurora Soho,r48,510 Broome St_New York_ NY 10013_,7,3,4,,,,,,,,,,,
Avena,r49,141 E 57th St_New York_ NY 10022_,7,3,5,,,,,,,,,,,
Azul On the Rooftop,r50,525 Greenwich St_New York_ NY 10013_,5,3,3,,,,,,,,,,,
B Flat,r51,277 Church St_New York_ NY 10013_,18; 5,2,4,,,,,,,,,,,
B Side Pizza & Wine Bar,r52,370 W 51st St_New York_ NY 10019_,7; 5,2,4.5,,,,,,,,,,,
B Squared,r53,679 9th Ave_New York_ NY 10036_,7,2,4.5,,,,,,,,,,,
B&B Winepub,r54,25 W Houston St_New York_ NY 10012_,2; 4,2,3.5,,,,,,,,,,,
B2 Harlem,r55,271 W 119th St_New York_ NY 10026_,3; 5,2,4.5,,,,,,,,,,,
Babbo,r56,110 Waverly Pl_New York_ NY 10011_,7,4,4,,,,,,,,,,,
Baby Brasa,r57,173 7th Ave S_New York_ NY 10014_,15,2,4,,,,,,,,,,,
Balade - Your Way,r58,144 West 37th St_New York_ NY 10018_,8,2,4.5,,,,,,,,,,,
Balthazar Restaurant,r59,80 Spring St_New York_ NY 10012_,6,3,4,,,,,,,,,,,
Bar Fortuna,r60,62 W 9th St_New York_ NY 10011_,5,2,4.5,,,,,,,,,,,
Bar SixtyFive,r61,30 Rockefeller Plz_Fl 65_New York_ NY 10112_,2,3,4.5,,,,,,,,,,,
Barawine,r62,200 Lenox Ave_New York_ NY 10027_,5,2,3.5,,,,,,,,,,,
Barbalu Restaurant,r63,225-227 Front St_New York_ NY 10038_,7,2,4,,,,,,,,,,,
Barbetta,r64,321 W 46th St_New York_ NY 10036_,2,3,3.5,,,,,,,,,,,
Barbuto,r65,775 Washington St_New York_ NY 10014_,2,3,4,,,,,,,,,,,
Barn Joo,r66,35 Union Sq W_New York_ NY 10003_,10,2,4,,,,,,,,,,,
Barn Joo 35,r67,34 W 35th St_New York_ NY 10001_,10,2,4.5,,,,,,,,,,,
Basta Pasta,r68,37 W 17th St_New York_ NY 10011_,7,2,4,,,,,,,,,,,
Bâtard,r69,239 West Broadway_New York_ NY 10013_,6;,4,4,,,,,,,,,,,
Bathtub Gin,r70,132 9th Ave_New York_ NY 10011_,5,3,4,,,,,,,,,,,
BCD Tofu House,r71,5W 32nd St_New York_ NY 10001_,10,2,4,,,,,,,,,,,
Bea,r72,403 W 43rd St_New York_ NY 10036_,2; 5,2,4,,,,,,,,,,,
Becco,r73,355 W 46th St_New York_ NY 10036_,7,3,4,,,,,,,,,,,
Belle Harlem,r74,2363 Adam Clayton Powell Blvd_New York_ NY 10030_,2,2,5,,,,,,,,,,,
Bemelmans Bar,r75,35 E 76th St_Carlyle Hotel_New York_ NY 10021_,5,4,4,,,,,,,,,,,
Benemon,r76,108 E 4th St_New York_ NY 10003_,9,2,4.5,,,,,,,,,,,
Bengal Tiger Indian Food,r77,58 W 56th St_Fl 2_New York_ NY 10019_,13,2,4.5,,,,,,,,,,,
Benito One,r78,174 Mulberry St_New York_ NY 10013_,7,2,4,,,,,,,,,,,
Benson's NYC,r79,181 Essex St_New York_ NY 10002_,2,2,4.5,,,,,,,,,,,
BentOn,r80,156 E 45th St,9,1,4,,,,,,,,,,,
Bessou,r81,5 Bleecker St_New York_ NY 10012_,9,3,4,,,,,,,,,,,
Bevy,r82,153 W 57th St_Fl 3_New York_ NY 10019_,2; 5,3,5,,,,,,,,,,,
Beyoglu,r83,1431 3rd Ave_New York_ NY 10028_,8,2,4,,,,,,,,,,,
Beyond Sushi Midtown West,r84,62 W 56th St_New York_ NY 10019_,9,2,4.5,,,,,,,,,,,
BG Restaurant,r85,754 5th Ave_New York_ NY 10019_,2,3,4,,,,,,,,,,,
Bill's Bar & Burger,r86,16 W 51st St_New York_ NY 10019_,2; 5,2,3.5,,,,,,,,,,,
Bill's Townhouse,r87,57 E 54th St_New York_ NY 10022_,2,3,4.5,,,,,,,,,,,
BIN No. 220,r88,220 Front St_New York_ NY 10038_,5,2,4,,,,,,,,,,,
Bistango,r89,145 E 50th St_The Kimberly Hotel_New York_ NY 10022_,7,2,4,,,,,,,,,,,
Bistro Chat Noir,r90,22 E 66th St_New York_ NY 10065_,6,3,4,,,,,,,,,,,
Bistro Les Amis,r91,180 Spring St_New York_ NY 10012_,6,2,4,,,,,,,,,,,
Black Barn,r92,19 E 26th St_New York_ NY 10010_,2; 4,3,3.5,,,,,,,,,,,
Black Tap Craft Burgers & Beer,r93,529 Broome St_New York_ NY 10013_,0; 5,2,4,,,,,,,,,,,
Blend on the Water,r94,4540 Center Blvd_Long Island City_ NY 11109_,15; 4,2,4,,,,,,,,,,,
Blue Dog Kitchen Bar,r95,308 W 50th St_New York_ NY 10019_,2,2,4,,,,,,,,,,,
Blue Hill,r96,75 Washington Pl_New York_ NY 10011_,2,4,4.5,,,,,,,,,,,
BLVD Bistro,r97,239 Lenox Ave_New York_ NY 10027_,0,2,4,,,,,,,,,,,
Bobby Van's CPS,r98,40 Central Park S_New York_ NY 10019_,2,3,4.5,,,,,,,,,,,
BoCaphe,r99,222 Lafayette St_New York_ NY 10012_,9,2,4,,,,,,,,,,,
Boccone,r100,506 9th Ave_New York_ NY 10018_,7,2,4,,,,,,,,,,,
Bodega 88,r101,573 Columbus Ave_New York_ NY 10024_,5,2,4.5,,,,,,,,,,,
Bodrum Mediterranean Restaurant,r102,584 Amsterdam Ave_New York_ NY 10024_,8,2,4,,,,,,,,,,,
Bohemian Restaurant,r103,57 Great Jones St_New York_ NY 10012_,9,3,4.5,,,,,,,,,,,
Bondurants,r104,303 E 85th St_New York_ NY 10028_,2; 5,2,4,,,,,,,,,,,
Bookmarks,r105,299 Madison Ave_Library Hotel_New York_ NY 10017_,5,3,3.5,,,,,,,,,,,
Boqueria,r106,53 W 19th St_New York_ NY 10011_,19,3,4,,,,,,,,,,,
Bottle and Bine,r107,1085 2nd Ave_New York_ NY 10022_,2; 5,2,4,,,,,,,,,,,
Boucherie,r108,99 7th Ave S_New York_ NY 10014_,6,3,4,,,,,,,,,,,
Bouley,r109,163 Duane St_New York_ NY 10013_,6,4,4.5,,,,,,,,,,,
Bouley Test Kitchen,r110,31 West 21st St_New York_ NY 10010_,6,3,4.5,,,,,,,,,,,
Boulton & Watt,r111,5 Ave A_New York_ NY 10009_,2; 5,2,4,,,,,,,,,,,
Boulud Sud,r112,20 West 64th Street_New York_ NY 10023_,8,3,4,,,,,,,,,,,
Breakroom,r113,83 Baxter St_New York_ NY 10013_,11; 0,1,4.5,,,,,,,,,,,
Briciola,r114,370 W 51st St_New York_ NY 10019_,7,2,4,,,,,,,,,,,
Brickyard Gastropub,r115,785 9th Ave_New York_ NY 10019_,5,2,4,,,,,,,,,,,
Brindle Room,r116,277 E 10th St_New York_ NY 10009_,2; 5,2,4,,,,,,,,,,,
Bubby's High Line,r117,73 Gansevoort St_New York_ NY 10014_,0,2,3.5,,,,,,,,,,,
Buceo 95,r118,201 W 95th St_New York_ NY 10025_,19,3,4,,,,,,,,,,,
Burger & Lobster,r119,39 W 19th St_New York_ NY 10011_,3; 0,2,4.5,,,,,,,,,,,
Burp Bowl Cafe,r120,134 E 27th St_New York_ NY 10010_,9,1,4,,,,,,,,,,,
Burrito Box,r121,885 9th Ave,11,1,4,,,,,,,,,,,
Bustan,r122,487 Amsterdam Ave_New York_ NY 10024_,8,2,4,,,,,,,,,,,
Butcher Bar,r123,146 Orchard St_New York_ NY 10002_,5,2,4,,,,,,,,,,,
Butter Midtown,r124,70 W 45th St_New York_ NY 10036_,2,3,3.5,,,,,,,,,,,
Buvette,r125,42 Grove St_New York_ NY 10014_,6,2,4,,,,,,,,,,,
by CHLOE,r126,185 Bleecker St_New York_ NY 10012_,7; 0,2,4,,,,,,,,,,,
Cafe Boulud,r127,20 E 76th St_New York_ NY 10021_,6,4,4,,,,,,,,,,,
